Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin,Weight_in_kg,Liters_per_100km,Kilometers
bmw 320i,21.5,4,121.0,110.0,2600,12.8,1977,Europe,1179.340162,10.940213162790698,34.60081
mazda rx-4,21.5,3,80.0,110.0,2720,13.5,1977,Japan,1233.7712464,10.940213162790698,34.60081
volkswagen rabbit custom diesel,43.1,4,90.0,48.0,1985,21.5,1978,Europe,900.38085445,5.4574149187935035,69.362554
ford fiesta,36.1,4,98.0,66.0,1800,14.4,1978,USA,816.466266,6.515639418282548,58.097174
mazda glc deluxe,32.8,4,78.0,52.0,1985,19.4,1978,Japan,900.38085445,7.171176310975611,52.786351999999994
datsun b210 gx,39.4,4,85.0,70.0,2070,18.6,1978,Japan,938.9362059,5.969913274111676,63.407996
honda civic cvcc,36.1,4,91.0,60.0,1800,16.4,1978,Japan,816.466266,6.515639418282548,58.097174
oldsmobile cutlass salon brougham,19.9,8,260.0,110.0,3365,15.5,1978,USA,1526.33832505,11.819828291457288,32.025866
dodge diplomat,19.4,8,318.0,140.0,3735,13.2,1978,USA,1694.16750195,12.124463041237114,31.221196
mercury monarch ghia,20.2,8,302.0,139.0,3570,12.8,1978,USA,1619.3247609,11.644286287128713,32.508668
pontiac phoenix lj,19.2,6,231.0,105.0,3535,19.2,1978,USA,1603.44902795,12.25075953125,30.899327999999997
chevrolet malibu,20.5,6,200.0,95.0,3155,18.2,1978,USA,1431.08392735,11.473882097560976,32.99147
ford fairmont (auto),20.2,6,200.0,85.0,2965,15.8,1978,USA,1344.90137705,11.644286287128713,32.508668
ford fairmont (man),25.1,4,140.0,88.0,2720,15.4,1978,USA,1233.7712464,9.371098924302789,40.394434000000004
plymouth volare,20.5,6,225.0,100.0,3430,17.2,1978,USA,1555.8218291,11.473882097560976,32.99147
amc concord,19.4,6,232.0,90.0,3210,17.2,1978,USA,1456.0315077,12.124463041237114,31.221196
buick century special,20.6,6,231.0,105.0,3380,15.8,1978,USA,1533.1422106,11.418183640776698,33.152404000000004
mercury zephyr,20.8,6,200.0,85.0,3070,16.7,1978,USA,1392.5285759,11.308393413461538,33.474272
dodge aspen,18.6,6,225.0,110.0,3620,18.7,1978,USA,1642.0043794,12.645945322580644,29.933724
amc concord d/l,18.1,6,258.0,120.0,3410,15.1,1978,USA,1546.7499817,12.995280828729282,29.129054000000004
chevrolet monte carlo landau,19.2,8,305.0,145.0,3425,13.2,1978,USA,1553.5538672500002,12.25075953125,30.899327999999997
buick regal sport coupe (turbo),17.7,6,231.0,165.0,3445,13.4,1978,USA,1562.6257146500002,13.288959491525425,28.485318
ford futura,18.1,8,302.0,139.0,3205,11.2,1978,USA,1453.7635458500001,12.995280828729282,29.129054000000004
dodge magnum xe,17.5,8,318.0,140.0,4080,13.7,1978,USA,1850.6568696000002,13.440833314285715,28.16345
chevrolet chevette,30.0,4,98.0,68.0,2155,16.5,1978,USA,977.49155735,7.840486100000001,48.2802
toyota corona,27.5,4,134.0,95.0,2560,14.2,1978,Japan,1161.1964672000001,8.553257563636365,44.25685
datsun 510,27.2,4,119.0,97.0,2300,14.7,1978,Japan,1043.262451,8.647594963235294,43.774048
dodge omni,30.9,4,105.0,75.0,2230,14.5,1978,USA,1011.5109851000001,7.612122427184467,49.728606
toyota celica gt liftback,21.1,4,134.0,95.0,2515,14.8,1978,Japan,1140.78481055,11.14761056872038,33.957074
plymouth sapporo,23.2,4,156.0,105.0,2745,16.7,1978,USA,1245.11105565,10.138559612068965,37.336687999999995
oldsmobile starfire sx,23.8,4,151.0,85.0,2855,17.6,1978,USA,1295.0062163500002,9.882965672268908,38.302292
datsun 200-sx,23.9,4,119.0,97.0,2405,14.9,1978,Japan,1090.88964985,9.841614351464436,38.463226
audi 5000,20.3,5,131.0,103.0,2830,15.9,1978,Europe,1283.6664071,11.58692527093596,32.669602
volvo 264gl,17.0,6,163.0,125.0,3140,13.6,1978,Europe,1424.2800418000002,13.836151941176471,27.35878
saab 99gle,21.6,4,121.0,115.0,2795,15.7,1978,Europe,1267.79067415,10.889564027777777,34.761744
peugeot 604sl,16.2,6,163.0,133.0,3410,15.8,1978,Europe,1546.7499817,14.519418703703705,26.071308
volkswagen scirocco,31.5,4,89.0,71.0,1990,14.9,1978,Europe,902.6488163,7.467129619047619,50.69421
honda Accelerationord lx,29.5,4,98.0,68.0,2135,16.6,1978,Japan,968.4197099500001,7.973375694915254,47.47553
pontiac lemans v6,21.5,6,231.0,115.0,3245,15.4,1979,USA,1471.9072406500002,10.940213162790698,34.60081
mercury zephyr 6,19.8,6,200.0,85.0,2990,18.2,1979,USA,1356.2411863,11.879524393939393,31.864932
ford fairmont 4,22.3,4,140.0,88.0,2890,17.3,1979,USA,1310.8819493,10.547739147982062,35.888282000000004
amc concord dl 6,20.2,6,232.0,90.0,3265,18.2,1979,USA,1480.97908805,11.644286287128713,32.508668
dodge aspen 6,20.6,6,225.0,110.0,3360,16.6,1979,USA,1524.0703632,11.418183640776698,33.152404000000004
chevrolet caprice classic,17.0,8,305.0,130.0,3840,15.4,1979,USA,1741.7947008,13.836151941176471,27.35878
ford ltd landau,17.6,8,302.0,129.0,3725,13.4,1979,USA,1689.63157825,13.364464943181817,28.324384000000002
mercury grand marquis,16.5,8,351.0,138.0,3955,13.2,1979,USA,1793.9578233500001,14.255429272727273,26.55411
dodge st. regis,18.2,8,318.0,135.0,3830,15.2,1979,USA,1737.2587771,12.923878186813187,29.289987999999997
buick estate wagon (sw),16.9,8,350.0,155.0,4360,14.9,1979,USA,1977.6627332,13.918022662721896,27.197846
ford country squire (sw),15.5,8,351.0,142.0,4054,14.3,1979,USA,1838.86346798,15.175134387096774,24.94477
chevrolet malibu classic (sw),19.2,8,267.0,125.0,3605,15.0,1979,USA,1635.2004938500002,12.25075953125,30.899327999999997
chrysler lebaron town @ country (sw),18.5,8,360.0,150.0,3940,13.0,1979,USA,1787.1539378,12.714301783783784,29.77279
vw rabbit custom,31.9,4,89.0,71.0,1925,14.0,1979,Europe,873.16531225,7.373497899686521,51.337945999999995
maxda glc deluxe,34.1,4,86.0,65.0,1975,15.2,1979,Japan,895.84493075,6.897788357771261,54.878494
dodge colt hatchback custom,35.7,4,98.0,80.0,1915,14.4,1979,USA,868.62938855,6.588643781512604,57.453438000000006
amc spirit dl,27.4,4,121.0,80.0,2670,15.0,1979,USA,1211.0916279,8.584473832116789,44.095915999999995
mercedes benz 300d,25.4,5,183.0,77.0,3530,20.1,1979,Europe,1601.1810661000002,9.260416653543308,40.877235999999996
cadillac eldorado,23.0,8,350.0,125.0,3900,17.4,1979,USA,1769.0102430000002,10.226721,37.01482
peugeot 504,27.2,4,141.0,71.0,3190,24.8,1979,Europe,1446.9596603,8.647594963235294,43.774048
oldsmobile cutlass salon brougham,23.9,8,260.0,90.0,3420,22.2,1979,USA,1551.2859054,9.841614351464436,38.463226
plymouth horizon,34.2,4,105.0,70.0,2200,13.2,1979,USA,997.903214,6.877619385964912,55.039428
plymouth horizon tc3,34.5,4,105.0,70.0,2150,14.9,1979,USA,975.2235955000001,6.817814,55.52223
datsun 210,31.8,4,85.0,65.0,2020,19.2,1979,Japan,916.2565874000001,7.396685,51.177012
fiat strada custom,37.3,4,91.0,69.0,2130,14.7,1979,Europe,966.1517481000001,6.306020991957105,60.02838199999999
buick skylark limited,28.4,4,151.0,90.0,2670,16.0,1979,USA,1211.0916279,8.282203626760564,45.705256
chevrolet citation,28.8,6,173.0,115.0,2595,11.3,1979,USA,1177.07220015,8.167173020833333,46.348992
oldsmobile omega brougham,26.8,6,173.0,115.0,2700,12.9,1979,USA,1224.699399,8.776663544776119,43.130312
pontiac phoenix,33.5,4,151.0,90.0,2556,13.2,1979,USA,1159.38209772,7.021330835820896,53.91289
vw rabbit,41.5,4,98.0,76.0,2144,14.7,1980,Europe,972.5020412800001,5.667821277108434,66.78761
toyota corolla tercel,38.1,4,89.0,60.0,1968,18.8,1980,Japan,892.6697841600001,6.173611102362204,61.315854
chevrolet chevette,32.1,4,98.0,70.0,2120,15.5,1980,USA,961.6158244000001,7.3275571028037385,51.659814000000004
datsun 310,37.2,4,86.0,65.0,2019,16.4,1980,Japan,915.80299503,6.322972661290322,59.867448
chevrolet citation,28.0,4,151.0,90.0,2678,16.5,1980,USA,1214.72036686,8.400520821428572,45.06152
ford fairmont,26.4,4,140.0,88.0,2870,18.1,1980,USA,1301.8101019,8.909643295454545,42.486576
amc concord,24.3,4,151.0,90.0,3003,20.1,1980,USA,1362.13788711,9.679612469135803,39.106962
dodge aspen,19.1,6,225.0,90.0,3381,18.7,1980,USA,1533.59580297,12.314899633507853,30.738394000000003
audi 4000,34.3,4,97.0,78.0,2188,15.8,1980,Europe,992.4601055600001,6.857568017492712,55.200362
toyota corona liftback,29.8,4,134.0,90.0,2711,15.5,1980,Japan,1229.6889150700001,7.8931068120805365,47.958332
mazda 626,31.3,4,120.0,75.0,2542,17.5,1980,Japan,1153.0318045400002,7.514842907348243,50.372342
datsun 510 hatchback,37.0,4,119.0,92.0,2434,15.0,1980,Japan,1104.04382858,6.357150891891892,59.54558
toyota corolla,32.2,4,108.0,75.0,2265,15.2,1980,Japan,1027.3867180500001,7.304800714285713,51.820748
mazda glc,46.6,4,86.0,65.0,2110,17.9,1980,Japan,957.0799007,5.047523240343348,74.995244
dodge colt,27.9,4,156.0,105.0,2800,14.4,1980,USA,1270.058636,8.430630215053764,44.900586
datsun 210,40.8,4,85.0,65.0,2110,19.2,1980,Japan,957.0799007,5.76506330882353,65.66107199999999
vw rabbit c (diesel),44.3,4,90.0,48.0,2085,21.7,1980,Europe,945.74009145,5.309584266365689,71.293762
vw dasher (diesel),43.4,4,90.0,48.0,2335,23.7,1980,Europe,1059.13818395,5.419690852534562,69.845356
audi 5000s (diesel),36.4,5,121.0,67.0,2950,19.9,1980,Europe,1338.0974915000002,6.461939093406594,58.579975999999995
mercedes-benz 240d,30.0,4,146.0,67.0,3250,21.8,1980,Europe,1474.1752025,7.840486100000001,48.2802
honda civic 1500 gl,44.6,4,91.0,67.0,1850,13.8,1980,Japan,839.1458845000001,5.273869573991031,71.77656400000001
renault lecar deluxe,40.9,4,85.0,,1835,17.3,1980,Europe,832.3419989500001,5.7509677995110025,65.822006
subaru dl,33.8,4,97.0,67.0,2145,18.0,1980,Japan,972.9556336500001,6.959011331360948,54.395692
vokswagen rabbit,29.8,4,89.0,62.0,1845,15.3,1980,Europe,836.8779226500001,7.8931068120805365,47.958332
datsun 280-zx,32.7,6,168.0,132.0,2910,11.4,1980,Japan,1319.9537967,7.193106513761467,52.625418
mazda rx-7 gs,23.7,3,70.0,100.0,2420,12.5,1980,Japan,1097.6935354,9.924665949367089,38.141358
triumph tr7 coupe,35.0,4,122.0,88.0,2500,15.1,1980,Europe,1133.980925,6.720416657142858,56.3269
ford mustang cobra,23.6,4,140.0,,2905,14.3,1980,USA,1317.68583485,9.966719618644067,37.980424
honda Accelerationord,32.4,4,107.0,72.0,2290,17.0,1980,Japan,1038.7265273,7.2597093518518525,52.142616
plymouth reliant,27.2,4,135.0,84.0,2490,15.7,1982,USA,1129.4450013,8.647594963235294,43.774048
buick skylark,26.6,4,151.0,84.0,2635,16.4,1982,USA,1195.2158949500001,8.842653496240601,42.808444
dodge aries wagon (sw),25.8,4,156.0,92.0,2620,14.4,1982,USA,1188.4120094,9.116844302325582,41.520972
chevrolet citation,23.5,6,173.0,110.0,2725,12.6,1982,USA,1236.03920825,10.009131191489361,37.81949
plymouth reliant,30.0,4,135.0,84.0,2385,12.9,1982,USA,1081.81780245,7.840486100000001,48.2802
toyota starlet,39.1,4,79.0,58.0,1755,16.9,1982,Japan,796.0546093500001,6.015718235294117,62.925194000000005
plymouth champ,39.0,4,86.0,64.0,1875,16.4,1982,USA,850.48569375,6.031143153846154,62.76426
honda civic 1300,35.1,4,81.0,60.0,1760,16.1,1982,Japan,798.3225712000001,6.7012701709401705,56.487834
subaru,32.3,4,97.0,67.0,2065,17.8,1982,Japan,936.66824405,7.2821852321981435,51.98168199999999
datsun 210,37.0,4,85.0,65.0,1975,19.4,1982,Japan,895.84493075,6.357150891891892,59.54558
toyota tercel,37.7,4,89.0,62.0,2050,17.3,1982,Japan,929.8643585000001,6.239113607427055,60.672118000000005
mazda glc 4,34.1,4,91.0,68.0,1985,16.0,1982,Japan,900.38085445,6.897788357771261,54.878494
plymouth horizon 4,34.7,4,105.0,63.0,2215,14.9,1982,USA,1004.7070995500001,6.778518242074927,55.844098
ford escort 4w,34.4,4,98.0,65.0,2045,16.2,1982,USA,927.5963966500001,6.837633226744186,55.361295999999996
ford escort 2h,29.9,4,98.0,65.0,2380,20.7,1982,USA,1079.5498406000002,7.866708461538462,48.119265999999996
volkswagen jetta,33.0,4,105.0,74.0,2190,14.2,1982,Europe,993.3672903,7.127714636363637,53.10822
renault 18i,34.5,4,100.0,,2320,15.8,1982,Europe,1052.3342984,6.817814,55.52223
honda prelude,33.7,4,107.0,75.0,2210,14.4,1982,Japan,1002.4391377000001,6.9796612166172105,54.23475800000001
toyota corolla,32.4,4,108.0,75.0,2350,16.8,1982,Japan,1065.9420695000001,7.2597093518518525,52.142616
datsun 200sx,32.9,4,119.0,100.0,2615,14.8,1982,Japan,1186.14404755,7.149379422492402,52.947286
mazda 626,31.6,4,120.0,74.0,2635,18.3,1982,Japan,1195.2158949500001,7.443499462025316,50.855144
peugeot 505s turbo diesel,28.1,4,141.0,80.0,3230,20.4,1982,Europe,1465.1033551,8.370625729537366,45.222454
saab 900s,,4,121.0,110.0,2800,15.4,1982,Europe,1270.058636,,
volvo diesel,30.7,6,145.0,76.0,3160,19.6,1982,Europe,1433.3518892,7.661712801302932,49.406738
toyota cressida,25.4,6,168.0,116.0,2900,12.6,1982,Japan,1315.417873,9.260416653543308,40.877235999999996
datsun 810 maxima,24.2,6,146.0,120.0,2930,13.8,1982,Japan,1329.0256441000001,9.719610867768596,38.946028
buick century,22.4,6,231.0,110.0,3415,15.8,1982,USA,1549.0179435500002,10.500651026785714,36.049215999999994
oldsmobile cutlass ls,26.6,8,350.0,105.0,3725,19.0,1982,USA,1689.63157825,8.842653496240601,42.808444
ford granada gl,20.2,6,200.0,88.0,3060,17.1,1982,USA,1387.9926522,11.644286287128713,32.508668
chrysler lebaron salon,17.6,6,225.0,85.0,3465,16.6,1982,USA,1571.69756205,13.364464943181817,28.324384000000002
chevrolet cavalier,28.0,4,112.0,88.0,2605,19.6,1982,USA,1181.60812385,8.400520821428572,45.06152
chevrolet cavalier wagon,27.0,4,112.0,88.0,2640,18.6,1982,USA,1197.4838568,8.711651222222223,43.45218
chevrolet cavalier 2-door,34.0,4,112.0,88.0,2395,18.0,1982,USA,1086.35372615,6.9180759705882355,54.71756
pontiac j2000 se hatchback,31.0,4,112.0,85.0,2575,16.2,1982,USA,1168.00035275,7.587567193548387,49.88954
dodge aries se,29.0,4,135.0,84.0,2525,16.0,1982,USA,1145.32073425,8.110847689655172,46.67086
pontiac phoenix,27.0,4,151.0,90.0,2735,18.0,1982,USA,1240.57513195,8.711651222222223,43.45218
ford fairmont futura,24.0,4,140.0,92.0,2865,16.4,1982,USA,1299.5421400500002,9.800607625,38.62416
amc concord dl,23.0,4,151.0,,3035,20.5,1982,USA,1376.6528429500001,10.226721,37.01482
volkswagen rabbit l,36.0,4,105.0,74.0,1980,15.3,1982,Europe,898.1128926,6.533738416666667,57.93624
mazda glc custom l,37.0,4,91.0,68.0,2025,18.2,1982,Japan,918.5245492500001,6.357150891891892,59.54558
mazda glc custom,31.0,4,91.0,68.0,1970,17.6,1982,Japan,893.5769689,7.587567193548387,49.88954
plymouth horizon miser,38.0,4,105.0,63.0,2125,14.7,1982,USA,963.8837862500001,6.189857447368421,61.15492
mercury lynx l,36.0,4,98.0,70.0,2125,17.3,1982,USA,963.8837862500001,6.533738416666667,57.93624
nissan stanza xe,36.0,4,120.0,88.0,2160,14.5,1982,Japan,979.7595192,6.533738416666667,57.93624
honda Accelerationord,36.0,4,107.0,75.0,2205,14.5,1982,Japan,1000.17117585,6.533738416666667,57.93624
toyota corolla,34.0,4,108.0,70.0,2245,16.9,1982,Japan,1018.3148706500001,6.9180759705882355,54.71756
honda civic,38.0,4,91.0,67.0,1965,15.0,1982,Japan,891.30900705,6.189857447368421,61.15492
honda civic (auto),32.0,4,91.0,67.0,1965,15.7,1982,Japan,891.30900705,7.35045571875,51.49888
datsun 310 gx,38.0,4,91.0,67.0,1995,16.2,1982,Japan,904.91677815,6.189857447368421,61.15492
buick century limited,25.0,6,181.0,110.0,2945,16.4,1982,USA,1335.82952965,9.40858332,40.2335
oldsmobile cutlass ciera (diesel),38.0,6,262.0,85.0,3015,17.0,1982,USA,1367.5809955500001,6.189857447368421,61.15492
chrysler lebaron medallion,26.0,4,156.0,92.0,2585,14.5,1982,USA,1172.53627645,9.046714730769231,41.84284
ford granada l,22.0,6,232.0,112.0,2835,14.7,1982,USA,1285.9343689500001,10.691571954545454,35.40548
toyota celica gt,32.0,4,144.0,96.0,2665,13.9,1982,Japan,1208.8236660500002,7.35045571875,51.49888
dodge charger 2.2,36.0,4,135.0,84.0,2370,13.0,1982,USA,1075.0139169000001,6.533738416666667,57.93624
chevrolet camaro,27.0,4,151.0,90.0,2950,17.3,1982,USA,1338.0974915000002,8.711651222222223,43.45218
ford mustang gl,27.0,4,140.0,86.0,2790,15.6,1982,USA,1265.5227123,8.711651222222223,43.45218
vw pickup,44.0,4,97.0,52.0,2130,24.6,1982,Europe,966.1517481000001,5.345785977272727,70.81096
dodge rampage,32.0,4,135.0,84.0,2295,11.6,1982,USA,1040.9944891500002,7.35045571875,51.49888
ford ranger,28.0,4,120.0,79.0,2625,18.6,1982,USA,1190.67997125,8.400520821428572,45.06152
chevy s-10,31.0,4,119.0,82.0,2720,19.4,1982,USA,1233.7712464,7.587567193548387,49.88954
